분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,산방산,산방산,산방산,33.242849,126.313734,제주특별자치도 서귀포시 안덕면 사계리 산 16
자연,산지등대,산지항로표지관리소,산지등대,33.5214721,126.5457825,제주특별자치도 제주시 건입동 340-2
자연,산지천,산지천,산지천,33.51335755,126.5274026,제주특별자치도 제주시 일도1동
자연,삼양검은모래해변,삼양해수욕장,삼양해수욕장,33.52586702,126.5855373,제주특별자치도 제주시 삼양이동 1960-4
자연,삼의봉,삼의봉,삼의봉,33.44024588,126.5619244,제주특별자치도 제주시 아라일동 산 24-2
자연,삼의양오름,세미오름,세미오름,33.4390897,126.5623432,제주특별자치도 제주시 아라동 산 24-2
자연,새별오름,새별오름,새별오름,33.36619365,126.3577119,제주특별자치도 제주시 애월읍 봉성리 산 59-3
자연,새신오름,새신오름,새신오름,33.29818979,126.2393193,제주특별자치도 제주시 한경면 산양리
자연,생각하는정원,생각하는정원 출입구1,생각하는정원,33.32606852,126.2549979,제주특별자치도 제주시 한경면 저지리 1529-7
자연,서건도,서건도,서건도,33.22999483,126.4986272,제주특별자치도 서귀포시 강정동 산 1
자연,서귀포자연휴양림,서귀포자연휴양림,서귀포자연휴양림,33.31229131,126.464872,제주특별자치도 서귀포시 하원동 산 1-1
자연,서귀포해양도립공원,서귀포해양도립공원,서귀포해양도립공원,33.2415869,126.5577677,제주특별자치도 서귀포시 서홍동
자연,석부작박물관,석부작박물관,석부작박물관,33.25040315,126.536502,제주특별자치도 서귀포시 호근동 569-2
자연,선흘곶자왈,선흘곶자왈,선흘곶자왈,33.5164508,126.7160285,제주특별자치도 제주시 조천읍 선흘리 산 12
자연,섭지코지,섭지코지,섭지코지,33.42393807,126.9306092,제주특별자치도 서귀포시 성산읍 고성리 87
자연,성산일출봉,성산일출봉,성산일출봉,33.45913497,126.9405375,제주특별자치도 서귀포시 성산읍 성산리 78
자연,세화해변,세화해변,세화해변,33.52514366,126.8602562,제주특별자치도 제주시 구좌읍 세화리 1-1
자연,소남머리,소남머리,소남머리,33.24339616,126.569759,제주특별자치도 서귀포시 송산동
자연,소정방폭포,소정방폭포,소정방폭포,33.24522641,126.5776345,제주특별자치도 서귀포시 서귀동
자연,손지오름,손자봉,손자봉,33.45662365,126.8198323,제주특별자치도 제주시 구좌읍 종달리 산 52
자연,송아오름,송아오름,송아오름,33.33563763,126.2385686,제주특별자치도 제주시 한경면 조수리 134
자연,송악산,송악산,송악산,33.19921553,126.2901175,제주특별자치도 서귀포시 대정읍 상모리 산 2
자연,쇠머리오름,쇠머리오름,쇠머리오름,33.49227259,126.9636633,제주특별자치도 제주시 우도면 연평리 산 17
자연,쇠소깍,쇠소깍,쇠소깍,33.25235487,126.624332,제주특별자치도 서귀포시 남원읍 하례리 1889
자연,수악,수악,수악,33.32473827,126.6093767,제주특별자치도 서귀포시 남원읍 하례리 산 10
자연,수월봉,수월봉,수월봉,33.2946169,126.1631723,제주특별자치도 제주시 한경면 고산리 3763
자연,신양섭지코지해변,신양섭지해수욕장,신양섭지해수욕장,33.43510307,126.9234728,제주특별자치도 서귀포시 성산읍 고성리 186-2
자연,신양마을,신양마을,신양마을,33.94140779,126.3209185,제주특별자치도 제주시 추자면 신양리
자연,신풍신천바다목장,신천목장,신천목장,33.3562684,126.8679163,제주특별자치도 서귀포시 성산읍 신천리 1
자연,쌍용굴,한림공원 쌍용굴,쌍용굴,33.38645018,126.2407225,제주특별자치도 제주시 한림읍 협재리
