분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,김녕사굴,김녕사굴,김녕사굴,33.543884,126.7754763,제주특별자치도 제주시 구좌읍 김녕리 201-4
자연,김녕성세기해변,김녕해수욕장,김녕해수욕장,33.55743886,126.759314,제주특별자치도 제주시 구좌읍 김녕리 497-4
자연,남원큰엉해안,큰엉해안경승지,큰엉해안경승지,33.27333215,126.7037144,제주특별자치도 서귀포시 남원읍 남원리
자연,높은오름,높은오름,높은오름,33.45644843,126.7930668,제주특별자치도 제주시 구좌읍 송당리 산 213-1
자연,다랑쉬오름,다랑쉬,다랑쉬오름,33.47766962,126.8215274,제주특별자치도 제주시 구좌읍 세화리 산 6
자연,다려도,다려도,다려도,33.55679291,126.6952768,제주특별자치도 제주시 조천읍 북촌리
자연,도너리오름,도너리오름,도너리오름,33.32569857,126.3213432,제주특별자치도 제주시 한림읍 금악리 산 60
자연,도리미오름,큰돌이미,큰돌이미,33.43175354,126.7725922,제주특별자치도 제주시 구좌읍 송당리 산 255-1
자연,돈내코,돈내코유원지,돈내코유원지,33.30036663,126.5841333,제주특별자치도 서귀포시 상효동 1459
자연,동수악,한라산 동수악,동수악,33.36134621,126.6277023,제주특별자치도 서귀포시 남원읍 한남리 산 2-12
자연,둔지봉,둔지봉,둔지봉,33.50276525,126.7949756,제주특별자치도 제주시 구좌읍 한동리 산 40
자연,따라비오름,따라비오름,따라비오름,33.38870699,126.7528584,제주특별자치도 서귀포시 표선면 가시리 산 63
자연,마라도등대,마라도항로표지관리소,마라도등대,33.11665537,126.2695123,제주특별자치도 서귀포시 대정읍 가파리 642
자연,마라도,마라도,마라도,33.11848091,126.2671657,제주특별자치도 서귀포시 대정읍 가파리 600
자연,만장굴,만장굴,만장굴,33.52793252,126.7693513,제주특별자치도 제주시 구좌읍 김녕리 3341-3
자연,모구리오름,모구리오름,모구리오름,33.40899489,126.828617,제주특별자치도 서귀포시 성산읍 난산리 2960-1
자연,모지오름,모지오름,모지오름,33.39354749,126.768129,제주특별자치도 서귀포시 표선면 성읍리 산 22
자연,무수천,무수천,무수천,33.46105275,126.4476441,제주특별자치도 제주시 애월읍 광령리
자연,물영아리오름,물영아리,물영아리,33.36847197,126.6919721,제주특별자치도 서귀포시 남원읍 수망리 산 188
자연,바늘오름,바농오름,바농오름,33.45396336,126.6526005,제주특별자치도 제주시 조천읍 교래리 산 108
자연,방선문,방선문,방선문,33.4528273,126.5178317,제주특별자치도 제주시 오라이동 3819-11
자연,별도봉,별도봉,별도봉,33.51893297,126.5526502,제주특별자치도 제주시 화북일동 4472
자연,보목마을,보목마을,보목마을,33.24072486,126.603755,제주특별자치도 서귀포시 보목동
자연,붉은오름자연휴양림,붉은오름자연휴양림,붉은오름자연휴양림,33.40149008,126.6753618,제주특별자치도 서귀포시 표선면 가시리 산 158
자연,비양도,비양도,비양도,33.41027771,126.2273484,제주특별자치도 제주시 한림읍 협재리
자연,비양봉,비양봉,비양봉,33.40945313,126.226973,제주특별자치도 제주시 한림읍 협재리 산 100-1
자연,비자림,비자림,비자림,33.49040837,126.8099875,제주특별자치도 제주시 구좌읍 평대리 3161-1
자연,사라봉,사라봉,사라봉,33.51793874,126.5450389,제주특별자치도 제주시 건입동 387-1
자연,사라오름,한라산 사라오름,사라오름,33.371166,126.57055,제주특별자치도 서귀포시 남원읍 신례리 산2-1
자연,산굼부리,산굼부리,산굼부리,33.43257412,126.6938406,제주특별자치도 제주시 조천읍 교래리 166-2
